date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:21	80493/80493	---M-Z	200	added ('OK')	text/html	etag:W/%220cd0f2f3449ddc42cfda2d9f9ecd738b--gzip%22	https://www.resilienceroutes.com/	C:/My%20Web%20Sites/Resilience%20Routes/www.resilienceroutes.com/index.html	(from )
19:07:21	441/441	---M-Z	200	added ('OK')	text/plain	date:Sun,%2028%20Sep%202025%2020:37:54%20GMT	https://www.resilienceroutes.com/robots.txt		(from )
19:07:21	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Sun,%2028%20Sep%202025%2023:07:19%20GMT	http://static1.squarespace.com/static/64fce6ab35ce4611b9594588/t/650cb599457a6f232b44eb65/1695331737898/Logo-2-100.jpg?format=1500w	C:/My%20Web%20Sites/Resilience%20Routes/static1.squarespace.com/static/64fce6ab35ce4611b9594588/t/650cb599457a6f232b44eb65/1695331737898/Logo-2-100.026f7.delayed	(from https://www.resilienceroutes.com/)
19:07:22	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/Resilience%20Routes/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.resilienceroutes.com/)
19:07:24	19688/19688	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2028%20Sep%202025%2023:07:21%20GMT	http://use.typekit.net/ik/i-aEe9QPksg7YMl50jhgMPw5C3RTLoUhEqWZBPDU2cSfezMIfFHN4UJLFRbh52jhWDjXZcF8FcBKwDmRZQbhwQBK5Q9oF29t5g78MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1s8iY4yOA48deUcdeNaZWJlihocSkoDSWmyScmDSeBRZPoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9CdeNRjAUGdaFXOY48Sh8C-Am0jhmkdamXZWw0jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiemXScIljcmCdeZCdai8SKuadcZDO1FUiABkZWF3jAF8OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0ScmD-AUTZAoRZW4ziWs8SkoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaO1s8iY4yOA48deUcdeNaZWJlihocSkoDSWmyScmDSeBRZPoRdhXK2YgkdayTdAIldcNhjPJPjAszjc9lZhBkjAuzdcblSY4zH6qJtKGbMg62JMJ7fbKzMsMMeMb6MKGHfO2IMsMMeM96MKG4fHXgIMMjgKMfH6qJK3IbMg6YJMJ7fbK0MsMMegM6MKG4fJ3gIMMjIPMfH6qJvDbbMs6IJMJ7fbR3FgMgeMS6MKG4fVJXIMIj2KMfH6qJvQbbMs6sJMHbMizfaH6e.js	C:/My%20Web%20Sites/Resilience%20Routes/use.typekit.net/ik/i-aEe9QPksg7YMl50jhgMPw5C3RTLoUhEqWZBPDU2cSfezMIfFHN4UJLFRbh52jhWDjXZcF8FcBKwDmRZQbhwQBK5Q9oF29t5g78MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW4	(from https://www.resilienceroutes.com/)
19:07:25	43981/43981	---M-Z	200	added ('OK')	text/javascript	etag:%224c4c05a16469778350e35727b2c53e24%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-04a33cfd2e273734-min.en-US.js	C:/My%20Web%20Sites/Resilience%20Routes/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-04a33cfd2e273734-min.en-US.js	(from https://www.resilienceroutes.com/)
19:07:28	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/Resilience%20Routes/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.resilienceroutes.com/)
19:07:28	91514/91514	---M-Z	200	added ('OK')	text/javascript	etag:%2272b00f074b6cfeb6696a436073ce428b%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5175d8ac6fd7505-min.en-US.js	C:/My%20Web%20Sites/Resilience%20Routes/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5175d8ac6fd7505-min.en-US.js	(from https://www.resilienceroutes.com/)
19:07:29	48124/48124	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Sep%202025%2023:07:20%20GMT	https://images.squarespace-cdn.com/content/64fce6ab35ce4611b9594588/902511f9-d9e3-4c2c-ae43-816bb3399e80/Logo-2-100.jpg?format=1500w&content-type=image%2Fjpeg	C:/My%20Web%20Sites/Resilience%20Routes/images.squarespace-cdn.com/content/64fce6ab35ce4611b9594588/902511f9-d9e3-4c2c-ae43-816bb3399e80/Logo-2-10043a3.jpg	(from https://www.resilienceroutes.com/)
19:07:33	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	C:/My%20Web%20Sites/Resilience%20Routes/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://www.resilienceroutes.com/)
19:07:35	29115/29115	---M-Z	200	added ('OK')	text/javascript	etag:%22eba3ef7bb172b9605a0cb10774c60b96%22	http://assets.squarespace.com/universal/scripts-compressed/performance-0e65ff2576fd6ed9-min.en-US.js	C:/My%20Web%20Sites/Resilience%20Routes/assets.squarespace.com/universal/scripts-compressed/performance-0e65ff2576fd6ed9-min.en-US.js	(from https://www.resilienceroutes.com/)
